Training started at Fri Nov  7 23:59:01 2025
[1762553027] Epoch 4 | Batch 4000/4906 | Loss 0.0732
[1762553085] Epoch 4 | Batch 4100/4906 | Loss 0.0437
[1762553142] Epoch 4 | Batch 4200/4906 | Loss 0.0933
[1762553199] Epoch 4 | Batch 4300/4906 | Loss 0.1055
[1762553257] Epoch 4 | Batch 4400/4906 | Loss 0.0384
[1762553314] Epoch 4 | Batch 4500/4906 | Loss 0.0189
[1762553373] Epoch 4 | Batch 4600/4906 | Loss 0.0272
[1762553432] Epoch 4 | Batch 4700/4906 | Loss 0.0501
[1762553489] Epoch 4 | Batch 4800/4906 | Loss 0.0723
[1762553547] Epoch 4 | Batch 4900/4906 | Loss 0.0188
[1762554308] Epoch 4 complete | Train AUC: 0.8557 | Val AUC: 0.7983
[1762554309] Epoch 5 | Batch 0/4906 | Loss 0.0868
[1762554380] Epoch 5 | Batch 100/4906 | Loss 0.0444
[1762554452] Epoch 5 | Batch 200/4906 | Loss 0.0307
[1762554523] Epoch 5 | Batch 300/4906 | Loss 0.0511
[1762554594] Epoch 5 | Batch 400/4906 | Loss 0.0515
[1762554663] Epoch 5 | Batch 500/4906 | Loss 0.0378
[1762554731] Epoch 5 | Batch 600/4906 | Loss 0.0452
[1762554799] Epoch 5 | Batch 700/4906 | Loss 0.0468
[1762554865] Epoch 5 | Batch 800/4906 | Loss 0.0115
[1762554930] Epoch 5 | Batch 900/4906 | Loss 0.0853
[1762554994] Epoch 5 | Batch 1000/4906 | Loss 0.0868
[1762555059] Epoch 5 | Batch 1100/4906 | Loss 0.0306
[1762555121] Epoch 5 | Batch 1200/4906 | Loss 0.0552
[1762555184] Epoch 5 | Batch 1300/4906 | Loss 0.0265
[1762555246] Epoch 5 | Batch 1400/4906 | Loss 0.0508
[1762555307] Epoch 5 | Batch 1500/4906 | Loss 0.0391
[1762555367] Epoch 5 | Batch 1600/4906 | Loss 0.0422
[1762555426] Epoch 5 | Batch 1700/4906 | Loss 0.0520
[1762555485] Epoch 5 | Batch 1800/4906 | Loss 0.0373
[1762555544] Epoch 5 | Batch 1900/4906 | Loss 0.0357
[1762555602] Epoch 5 | Batch 2000/4906 | Loss 0.0730
[1762555662] Epoch 5 | Batch 2100/4906 | Loss 0.0408
[1762555719] Epoch 5 | Batch 2200/4906 | Loss 0.0561
[1762555774] Epoch 5 | Batch 2300/4906 | Loss 0.0603
[1762555827] Epoch 5 | Batch 2400/4906 | Loss 0.0570
[1762555880] Epoch 5 | Batch 2500/4906 | Loss 0.0674
[1762555934] Epoch 5 | Batch 2600/4906 | Loss 0.0702
[1762555988] Epoch 5 | Batch 2700/4906 | Loss 0.0530
[1762556041] Epoch 5 | Batch 2800/4906 | Loss 0.0136
[1762556094] Epoch 5 | Batch 2900/4906 | Loss 0.1089
[1762556147] Epoch 5 | Batch 3000/4906 | Loss 0.0291
[1762556201] Epoch 5 | Batch 3100/4906 | Loss 0.0491
[1762556254] Epoch 5 | Batch 3200/4906 | Loss 0.0484
[1762556307] Epoch 5 | Batch 3300/4906 | Loss 0.1007
[1762556361] Epoch 5 | Batch 3400/4906 | Loss 0.0790
[1762556416] Epoch 5 | Batch 3500/4906 | Loss 0.0846
[1762556471] Epoch 5 | Batch 3600/4906 | Loss 0.0877
[1762556528] Epoch 5 | Batch 3700/4906 | Loss 0.0318
[1762556584] Epoch 5 | Batch 3800/4906 | Loss 0.0217
[1762556638] Epoch 5 | Batch 3900/4906 | Loss 0.0425
[1762556693] Epoch 5 | Batch 4000/4906 | Loss 0.0531
[1762556748] Epoch 5 | Batch 4100/4906 | Loss 0.0296
[1762556802] Epoch 5 | Batch 4200/4906 | Loss 0.0332
[1762556857] Epoch 5 | Batch 4300/4906 | Loss 0.0378
[1762556911] Epoch 5 | Batch 4400/4906 | Loss 0.0168
[1762556965] Epoch 5 | Batch 4500/4906 | Loss 0.0171
[1762557020] Epoch 5 | Batch 4600/4906 | Loss 0.0467
[1762557072] Epoch 5 | Batch 4700/4906 | Loss 0.0682
[1762557126] Epoch 5 | Batch 4800/4906 | Loss 0.0388
[1762557179] Epoch 5 | Batch 4900/4906 | Loss 0.0183
[1762557851] Epoch 5 complete | Train AUC: 0.8722 | Val AUC: 0.8012
[1762557852] Epoch 6 | Batch 0/4906 | Loss 0.0404
[1762557923] Epoch 6 | Batch 100/4906 | Loss 0.0401
[1762557992] Epoch 6 | Batch 200/4906 | Loss 0.0252
[1762558061] Epoch 6 | Batch 300/4906 | Loss 0.0379
[1762558131] Epoch 6 | Batch 400/4906 | Loss 0.0346
[1762558200] Epoch 6 | Batch 500/4906 | Loss 0.0414
[1762558268] Epoch 6 | Batch 600/4906 | Loss 0.0745
[1762558335] Epoch 6 | Batch 700/4906 | Loss 0.0561
[1762558404] Epoch 6 | Batch 800/4906 | Loss 0.0266
[1762558465] Epoch 6 | Batch 900/4906 | Loss 0.0177
[1762558524] Epoch 6 | Batch 1000/4906 | Loss 0.0434
[1762558582] Epoch 6 | Batch 1100/4906 | Loss 0.0232
[1762558639] Epoch 6 | Batch 1200/4906 | Loss 0.0536
[1762558695] Epoch 6 | Batch 1300/4906 | Loss 0.0609
[1762558752] Epoch 6 | Batch 1400/4906 | Loss 0.0238
[1762558809] Epoch 6 | Batch 1500/4906 | Loss 0.0292
[1762558865] Epoch 6 | Batch 1600/4906 | Loss 0.0354
[1762558920] Epoch 6 | Batch 1700/4906 | Loss 0.0308
[1762558976] Epoch 6 | Batch 1800/4906 | Loss 0.0441
[1762559030] Epoch 6 | Batch 1900/4906 | Loss 0.0596
[1762559085] Epoch 6 | Batch 2000/4906 | Loss 0.0308
[1762559140] Epoch 6 | Batch 2100/4906 | Loss 0.0416
[1762559194] Epoch 6 | Batch 2200/4906 | Loss 0.0277
[1762559250] Epoch 6 | Batch 2300/4906 | Loss 0.0810
[1762559305] Epoch 6 | Batch 2400/4906 | Loss 0.0893
[1762559360] Epoch 6 | Batch 2500/4906 | Loss 0.1398
[1762559415] Epoch 6 | Batch 2600/4906 | Loss 0.0206
[1762559468] Epoch 6 | Batch 2700/4906 | Loss 0.0334
[1762559521] Epoch 6 | Batch 2800/4906 | Loss 0.0617
[1762559572] Epoch 6 | Batch 2900/4906 | Loss 0.0447
[1762559626] Epoch 6 | Batch 3000/4906 | Loss 0.0871
