Phase 6 ViT Training Started: Mon Nov 10 12:50:48 2025
Model: Vision Transformer Base/16
Target: Ensemble AUC 0.82-0.83

[1762772548] Epoch 3 | Batch 500/7849 | Loss 0.0825
[1762772623] Epoch 3 | Batch 600/7849 | Loss 0.1531
[1762772698] Epoch 3 | Batch 700/7849 | Loss 0.0240
[1762772771] Epoch 3 | Batch 800/7849 | Loss 0.0036
[1762772838] Epoch 3 | Batch 900/7849 | Loss 0.0257
[1762772903] Epoch 3 | Batch 1000/7849 | Loss 0.0683
[1762772967] Epoch 3 | Batch 1100/7849 | Loss 0.0178
[1762773031] Epoch 3 | Batch 1200/7849 | Loss 0.0246
[1762773098] Epoch 3 | Batch 1300/7849 | Loss 0.0157
[1762773169] Epoch 3 | Batch 1400/7849 | Loss 0.0460
[1762773245] Epoch 3 | Batch 1500/7849 | Loss 0.0611
[1762773316] Epoch 3 | Batch 1600/7849 | Loss 0.1181
[1762773384] Epoch 3 | Batch 1700/7849 | Loss 0.0122
[1762773447] Epoch 3 | Batch 1800/7849 | Loss 0.0454
[1762773510] Epoch 3 | Batch 1900/7849 | Loss 0.0243
[1762773572] Epoch 3 | Batch 2000/7849 | Loss 0.0999
[1762773633] Epoch 3 | Batch 2100/7849 | Loss 0.0353
[1762773695] Epoch 3 | Batch 2200/7849 | Loss 0.0190
[1762773755] Epoch 3 | Batch 2300/7849 | Loss 0.0200
[1762773817] Epoch 3 | Batch 2400/7849 | Loss 0.0508
[1762773878] Epoch 3 | Batch 2500/7849 | Loss 0.0152
[1762773937] Epoch 3 | Batch 2600/7849 | Loss 0.0639
[1762773996] Epoch 3 | Batch 2700/7849 | Loss 0.0271
[1762774055] Epoch 3 | Batch 2800/7849 | Loss 0.0598
[1762774113] Epoch 3 | Batch 2900/7849 | Loss 0.1432
[1762774171] Epoch 3 | Batch 3000/7849 | Loss 0.0419
[1762774228] Epoch 3 | Batch 3100/7849 | Loss 0.0196
[1762774289] Epoch 3 | Batch 3200/7849 | Loss 0.0342
[1762774346] Epoch 3 | Batch 3300/7849 | Loss 0.0280
[1762774405] Epoch 3 | Batch 3400/7849 | Loss 0.0104
[1762774465] Epoch 3 | Batch 3500/7849 | Loss 0.0371
[1762774526] Epoch 3 | Batch 3600/7849 | Loss 0.0108
[1762774583] Epoch 3 | Batch 3700/7849 | Loss 0.0497
[1762774650] Epoch 3 | Batch 3800/7849 | Loss 0.0453
[1762774713] Epoch 3 | Batch 3900/7849 | Loss 0.0515
[1762774775] Epoch 3 | Batch 4000/7849 | Loss 0.0336
[1762774836] Epoch 3 | Batch 4100/7849 | Loss 0.0263
[1762774898] Epoch 3 | Batch 4200/7849 | Loss 0.0227
[1762774955] Epoch 3 | Batch 4300/7849 | Loss 0.0980
[1762775013] Epoch 3 | Batch 4400/7849 | Loss 0.0716
[1762775070] Epoch 3 | Batch 4500/7849 | Loss 0.0075
[1762775128] Epoch 3 | Batch 4600/7849 | Loss 0.0665
[1762775183] Epoch 3 | Batch 4700/7849 | Loss 0.0616
[1762775238] Epoch 3 | Batch 4800/7849 | Loss 0.0609
[1762775294] Epoch 3 | Batch 4900/7849 | Loss 0.0067
[1762775357] Epoch 3 | Batch 5000/7849 | Loss 0.0356
[1762775426] Epoch 3 | Batch 5100/7849 | Loss 0.0628
[1762775502] Epoch 3 | Batch 5200/7849 | Loss 0.0240
[1762775575] Epoch 3 | Batch 5300/7849 | Loss 0.0246
[1762775651] Epoch 3 | Batch 5400/7849 | Loss 0.0293
[1762775728] Epoch 3 | Batch 5500/7849 | Loss 0.0046
[1762775796] Epoch 3 | Batch 5600/7849 | Loss 0.0516
[1762775867] Epoch 3 | Batch 5700/7849 | Loss 0.0635
[1762775936] Epoch 3 | Batch 5800/7849 | Loss 0.0120
[1762776012] Epoch 3 | Batch 5900/7849 | Loss 0.0247
[1762776087] Epoch 3 | Batch 6000/7849 | Loss 0.0309
[1762776161] Epoch 3 | Batch 6100/7849 | Loss 0.0199
[1762776228] Epoch 3 | Batch 6200/7849 | Loss 0.0313
[1762776298] Epoch 3 | Batch 6300/7849 | Loss 0.0213
[1762776364] Epoch 3 | Batch 6400/7849 | Loss 0.0890
[1762776437] Epoch 3 | Batch 6500/7849 | Loss 0.0896
[1762776507] Epoch 3 | Batch 6600/7849 | Loss 0.0200
[1762776578] Epoch 3 | Batch 6700/7849 | Loss 0.0332
[1762776655] Epoch 3 | Batch 6800/7849 | Loss 0.0243
[1762776728] Epoch 3 | Batch 6900/7849 | Loss 0.0126
[1762776803] Epoch 3 | Batch 7000/7849 | Loss 0.0317
[1762776879] Epoch 3 | Batch 7100/7849 | Loss 0.0521
[1762776950] Epoch 3 | Batch 7200/7849 | Loss 0.0275
[1762777021] Epoch 3 | Batch 7300/7849 | Loss 0.0379
[1762777095] Epoch 3 | Batch 7400/7849 | Loss 0.1255
[1762777169] Epoch 3 | Batch 7500/7849 | Loss 0.0756
[1762777246] Epoch 3 | Batch 7600/7849 | Loss 0.0332
[1762777323] Epoch 3 | Batch 7700/7849 | Loss 0.0264
[1762777397] Epoch 3 | Batch 7800/7849 | Loss 0.0412
[1762778546] Epoch 3 | Train AUC: 0.8909 | Val AUC: 0.7904 | Best: 0.7904
[1762778547] Epoch 4 | Batch 0/7849 | Loss 0.0677
[1762778623] Epoch 4 | Batch 100/7849 | Loss 0.0346
[1762778699] Epoch 4 | Batch 200/7849 | Loss 0.0096
[1762778776] Epoch 4 | Batch 300/7849 | Loss 0.0260
[1762778850] Epoch 4 | Batch 400/7849 | Loss 0.0097
[1762778926] Epoch 4 | Batch 500/7849 | Loss 0.0056
[1762779003] Epoch 4 | Batch 600/7849 | Loss 0.0178
[1762779079] Epoch 4 | Batch 700/7849 | Loss 0.0650
[1762779155] Epoch 4 | Batch 800/7849 | Loss 0.0045
[1762779232] Epoch 4 | Batch 900/7849 | Loss 0.0100
[1762779307] Epoch 4 | Batch 1000/7849 | Loss 0.0292
[1762779379] Epoch 4 | Batch 1100/7849 | Loss 0.0283
[1762779449] Epoch 4 | Batch 1200/7849 | Loss 0.0194
[1762779512] Epoch 4 | Batch 1300/7849 | Loss 0.0569
[1762779579] Epoch 4 | Batch 1400/7849 | Loss 0.0903
[1762779648] Epoch 4 | Batch 1500/7849 | Loss 0.0148
[1762779720] Epoch 4 | Batch 1600/7849 | Loss 0.0341
[1762779789] Epoch 4 | Batch 1700/7849 | Loss 0.0100
[1762779981] Epoch 4 | Batch 1800/7849 | Loss 0.0807
[1762780128] Epoch 4 | Batch 1900/7849 | Loss 0.0260
[1762780249] Epoch 4 | Batch 2000/7849 | Loss 0.0554
[1762780366] Epoch 4 | Batch 2100/7849 | Loss 0.0434
[1762780484] Epoch 4 | Batch 2200/7849 | Loss 0.0439
[1762780614] Epoch 4 | Batch 2300/7849 | Loss 0.0051
[1762780737] Epoch 4 | Batch 2400/7849 | Loss 0.0206
[1762780854] Epoch 4 | Batch 2500/7849 | Loss 0.0293
[1762780981] Epoch 4 | Batch 2600/7849 | Loss 0.0081
[1762781051] Epoch 4 | Batch 2700/7849 | Loss 0.0054
[1762781116] Epoch 4 | Batch 2800/7849 | Loss 0.0395
[1762781180] Epoch 4 | Batch 2900/7849 | Loss 0.0060
[1762781241] Epoch 4 | Batch 3000/7849 | Loss 0.0296
[1762781302] Epoch 4 | Batch 3100/7849 | Loss 0.0117
[1762781363] Epoch 4 | Batch 3200/7849 | Loss 0.0307
[1762781423] Epoch 4 | Batch 3300/7849 | Loss 0.1240
[1762781483] Epoch 4 | Batch 3400/7849 | Loss 0.0173
[1762781543] Epoch 4 | Batch 3500/7849 | Loss 0.0387
[1762781603] Epoch 4 | Batch 3600/7849 | Loss 0.0195
[1762781662] Epoch 4 | Batch 3700/7849 | Loss 0.0730
[1762781721] Epoch 4 | Batch 3800/7849 | Loss 0.0116
[1762781780] Epoch 4 | Batch 3900/7849 | Loss 0.0379
[1762781840] Epoch 4 | Batch 4000/7849 | Loss 0.0127
[1762781899] Epoch 4 | Batch 4100/7849 | Loss 0.0428
[1762781957] Epoch 4 | Batch 4200/7849 | Loss 0.0414
[1762782014] Epoch 4 | Batch 4300/7849 | Loss 0.0470
[1762782072] Epoch 4 | Batch 4400/7849 | Loss 0.0200
[1762782130] Epoch 4 | Batch 4500/7849 | Loss 0.0278
[1762782187] Epoch 4 | Batch 4600/7849 | Loss 0.0371
[1762782245] Epoch 4 | Batch 4700/7849 | Loss 0.0671
